x(mm),I(10^-8 A)
40.950,3.4
41.403,7.8
41.801,14.6
42.200,20.5
42.601,24.3
43.000,23.6
43.401,19.2
43.801,12.6
44.413,7.3
44.799,5.2
45.200,9.3
45.600,15.6
46.001,20.2
46.404,35.7
46.805,51.2
47.205,62.2
47.603,61.7
48.002,67.7
48.402,62.6
48.800,48.5
49.201,29.1
49.603,19.8
50.001,33.9
50.403,86.6
50.803,191.9
51.200,354.6
51.603,538.3
52.000,768.0
52.401,974.5
52.803,1143.4
53.201,1254.6
53.603,1326.3
54.001,1315.2
54.401,1120.0
54.804,953.3
55.203,740.1
55.601,552.7
56.001,348.4
56.401,199.3
56.802,90.5
57.205,27.0
59.603,10.1
60.001,19.2
60.403,40.1
60.800,60.3
61.203,71.6
61.601,69.4
62.000,55.0
62.401,35.8
62.803,19.5
63.201,8.7
63.600,7.1
64.003,10.7
64.435,18.9
64.801,22.0
65.201,22.9
65.602,21.5
66.001,16.7
